id	 1hr	 2hr	 3hr	 4hr	 6hr	 7hr	 8hr	 9hr	10hr
S3_H_T17239	5.9979	5.3783	5.6124	5.24	4.6818	4.3226	3.2224	3.2224	3.2224
S3_H_T1724	5.9595	5.1751	4.6864	3.9669	4.0298	3.7702	3.2224	3.2224	3.2224
S3_H_T17243	6.5819	6.1296	5.9494	5.5914	5.1293	4.5636	3.9928	3.2224	3.2224
S3_H_T17245	7.2561	6.5388	6.1718	6.0544	6.1293	5.2554	4.6558	3.2224	3.2224
S3_H_T17250	6.1073	5.5564	5.2224	4.7039	4.5443	4.1851	3.2224	3.2224	3.2224
S3_H_T17257	6.142	5.4878	5.3186	5.1893	5.0298	4.5636	3.7298	3.2224	3.2224
S3_H_T17258	7.4486	6.7586	6.0649	5.4694	4.9229	5.4177	4.1083	3.3866	3.2224
S3_H_T17259	7.7923	7.1844	6.722	6.2149	4.6818	4.8631	3.7298	3.2664	3.2224
S3_H_T17270	5.9201	4.9384	4.5344	4.0824	3.5443	3.5638	3.2224	3.2224	3.2224
S3_H_T17273	6.1073	5.4522	5.9791	5.7743	5.2224	3.9507	3.2224	3.2224	3.2224
S3_H_T17275	6.6316	5.8023	5.3186	4.1893	4.2224	3.7702	3.2224	3.2224	3.2224
S3_H_T17277	6.7711	6.1957	5.7567	5.24	4.5443	4.77	3.8673	3.2224	3.2224
S3_H_T17278	5.7048	5.4878	6.0083	5.8414	5.8663	4.9506	3.9928	3.2224	3.2224
S3_H_T1728	7.1746	6.5556	6.4305	5.9055	5.3923	4.9924	3.4078	3.2224	3.2224
S3_H_T1729	7.392	7.0716	6.3644	5.8083	4.6818	4.6705	3.8673	3.2224	3.2224
S3_H_T17290	6.5304	5.9372	6.2952	5.9967	5.4703	5.0726	4.1083	3.2224	3.2224
S3_H_T17293	6.3343	5.9372	5.8239	5.382	4.5443	4.77	3.4078	3.2224	3.2224
S3_H_T17294	5.9595	5.085	5.919	5.5519	5.3099	4.5636	3.4078	3.2224	3.2224
S3_H_T17296	6.7711	6.0366	6.1973	6.0544	5.4703	5.2554	3.8673	3.2224	3.2224
S3_H_T17297	5.8795	5.0378	5.5739	5.2889	5.1293	4.1112	3.5778	3.2224	3.2224
S3_H_T17301	6.3343	5.9112	5.9494	5.5113	5.746	4.618	3.8673	3.2224	3.2224
S3_H_T17303	6.7711	6.0604	6.7567	6.757	6.5078	5.5355	4.8002	3.2224	3.2224
S3_H_T17306	5.9201	5.5896	5.0649	4.8414	4.0298	3.4483	3.5778	3.2224	3.2224
S3_H_T17309	6.273	5.4157	4.888	4.0824	3.2224	3.6707	3.2224	3.2224	3.2224
S3_H_T17311	6.9774	6.2793	5.4937	5.1369	5.1293	4.8173	3.8673	3.2224	3.2224
S3_H_T17314	6.1073	5.085	5.3186	4.9669	4.8074	4.4481	3.2224	3.2224	3.2224
S3_H_T17317	5.7948	5.0378	5.7567	5.6299	5.0298	4.4481	3.5778	3.2224	3.2224
S3_H_T17318	6.2414	5.3004	5.722	5.0824	5.1293	4.2555	3.7298	3.2224	3.2224
S3_H_T17320	6.5304	5.3783	5.6498	4.9669	4.6818	4.0332	3.2224	3.2224	3.2224
S3_H_T17323	8.3326	7.5213	7.7307	7.5317	7.1051	6.8517	6.1627	3.2224	4.2587
S3_H_T17325	6.703	6.0124	5.6864	5.4264	5.0298	4.7211	4.3147	3.2224	3.2224
