id	dg	x0	t0	mse	rsq
S2_H_T2022	0.28506	5.6302	1	0.24195	0.67678
S2_H_T2031	0.381	6.7923	1	0.17443	0.83841
S2_H_T2032	0.40344	6.5086	1	0.19282	0.84033
S2_H_T2041	0.43721	6.2689	1	0.14212	0.89345
S2_H_T2076	0.20188	7.4165	1	0.32777	0.43669
S2_H_T208	0.23754	6.3741	1	0.61019	0.36569
S2_H_T2081	0.3457	6.7838	1	0.39901	0.65124
S2_H_T2085	0.38985	7.7095	1	0.26156	0.78366
S2_H_T2087	0.22917	6.4277	1	0.2003	0.62046
S2_H_T2091	0.15064	5.4699	1	0.77953	0.1536
S2_H_T2092	0.28804	6.36	1	0.52104	0.49817
S2_H_T2094	0.36706	6.0769	1	0.50876	0.62279
S2_H_T2099	0.1	3.6672	1	1.3486	0.21111
S2_H_T2105	0.25107	5.6549	1	0.41227	0.48803
S2_H_T2108	0.18572	5.6792	1	0.2203	0.49394
S2_H_T2122	0.44826	8.5341	1	0.11695	0.91461
S2_H_T2124	0.30174	5.7109	1	0.21139	0.72865
S2_H_T213	0.1	4.0768	1	1.0653	0.11016
S2_H_T2138	0.15662	5.7975	1	1.0909	0.12295
S2_H_T2139	0.3295	5.8394	1	0.18064	0.78935
S2_H_T2144	0.1	4.4829	1	2.0609	5.4384e-05
