id, 1hr, 2hr, 3hr, 4hr, 6hr, 7hr, 8hr, 9hr,10hr
S1_H_T2924,5.8795,5.085,5.0649,4.382,4.0298,3.5638,3.2224,3.2224,3.2224
S1_H_T2943,6.6558,6.0839,6.1458,5.8414,5.8074,5.033,4.4953,3.2224,3.2224
S1_H_T2944,6.504,5.9627,5.5739,5.3362,5.1293,4.6705,3.4078,3.2224,3.2224
S1_H_T2948,6.0718,5.715,5.1718,4.9055,3.5443,4.1851,3.4078,3.2224,3.2224
S1_H_T295,6.4771,5.8023,6.2224,5.8738,5.5443,5.591,5.0517,3.2224,3.2224
S1_H_T2950,7.476,7.2271,6.5142,6.0258,4.9229,5.033,3.5778,3.2224,3.2224
S1_H_T2957,6.4771,5.2181,5.8563,6.0258,6.58,6.2029,5.6932,3.2224,4.3076
S1_H_T2959,6.0353,5.1307,4.3644,3.9669,3.5443,3.2224,3.2224,3.2224,3.2224
S1_H_T2960,6.5819,6.0604,6.6124,6.2646,5.9229,5.3225,4.4078,3.2224,3.2224
S1_H_T2964,6.1073,5.3399,5.0083,4.382,4.0298,4.2555,3.2224,3.2224,3.2224
S1_H_T2972,6.8779,6.152,6.1458,5.7395,5.2224,5.111,4.2152,3.2224,3.2224
S1_H_T2973,5.9595,4.7752,5.8563,5.5914,4.8074,4.0332,3.8673,3.2224,3.2224
S1_H_T2976,5.8378,5.1307,5.6124,5.0824,4.5443,4.7211,3.2224,3.2224,3.2224
S1_H_T2979,6.8779,6.4514,6.6864,6.5718,5.8074,5.591,4.4953,3.2224,3.2224
S1_H_T2982,6.1759,5.4157,5.5739,5.5113,4.5443,4.7211,3.4078,3.2224,3.2224
S1_H_T2988,7.224,6.487,7.1326,7.1235,6.8948,6.033,5.362,3.2224,3.7936
S1_H_T2989,5.7505,5.0378,5.4937,5.2889,5.1293,4.9924,3.9928,3.2224,3.2224
